Song_ID,Artist,Song
0ZrXEI16hfVzp2Nzlordve,Leslie Cours Mather,Countrified
718COspgdWOnwOFpJHRZHS,Luke Combs,What You See Is What You Get
5Zq7R5qmi58ByYyBQTlNuk,Lee Brice,One Of Them Girls
3oSJ7TBVCWMDMiYjXNiCKE,Kane Brown,Mixtape Vol. 1 - EP
3FfvYsEGaIb52QPXhg4DcH,Jason Aldean,9
7EekKnlf2HwNaLLpL9Cpgy,Matt Stell,Everywhere But On
1UTPBmNbXNTittyMJrNkvw,Blake Shelton,Happy Anywhere (feat. Gwen Stefani)
4SbuhLih8eWLmqFzzmM3AK,HIXTAPE,HIXTAPE: Vol. 1
4oUHIQIBe0LHzYfvXNW4QM,Morgan Wallen,More Than My Hometown
32WkQRZEVKSzVAAYqukAEA,Lady A,Champagne Night (From Songland)
